ARC,ARC,ARC,BAT,BAT,BAT,BRS,BRS,BRS,CER,CER,CER,COR,COR,COR,DMH,DMH,DMH,HAB,HAB,HAB,HIP,HIP,HIP,LHc,LHc,LHc,LHr,LHr,LHr,LIV,LIV,LIV,OLB,OLB,OLB,POA,POA,POA,PRC,PRC,PRC,PVN,PVN,PVN,PVT,PVT,PVT,PVZ,PVZ,PVZ,QUA,QUA,QUA,SCN,SCN,SCN,TES,TES,TES,VMH,VMH,VMH
total,up,down,total,up,down,total,up,down,total,up,down,total,up,down,total,up,down,total,up,down,total,up,down,total,up,down,total,up,down,total,up,down,total,up,down,total,up,down,total,up,down,total,up,down,total,up,down,total,up,down,total,up,down,total,up,down,total,up,down,total,up,down
18,8,10,1248,615,633,309,149,160,254,109,145,41,25,16,469,157,312,5521,2218,3303,94,54,40,953,247,706,190,132,58,2380,1125,1255,181,77,104,81,45,36,836,399,437,1549,569,980,388,147,241,15,9,6,4138,2022,2116,266,158,108,101,11,90,29,14,15
F730043M19Rik,2900052N01Rik,F730043M19Rik,Prodh,Prodh,Ramp1,Agt,Agt,Ugt8a,Itih3,Itih3,Klk6,Etnppl,Etnppl,Olfml3,2900052N01Rik,2900052N01Rik,Hbb-bs,Hba-a1,Slc6a6,Hba-a1,Wnt10b,Wnt10b,Aqp4,Pfkl,Slc36a4,Pfkl,AC123724.2,AC123724.2,Igsf1,Gm6166,Pcp4l1,Gm6166,Etnppl,Etnppl,Clec3b,Slc2a4,Slc2a4,Ncan,Gm43844,Gm43844,Tomm40l,Igsf1,Paip2b,Igsf1,Hbb-bs,Magi2,Hbb-bs,Cyp2d22,Cyp2d22,Avp,Col3a1,Gm9522,Col3a1,2900052N01Rik,2900052N01Rik,Cnmd,Klk1b27,Ntn1,Klk1b27,Kcne1l,2900052N01Rik,Kcne1l
Hbb-bt,Ovgp1,Hbb-bt,Ramp1,Car14,Adcy10,Ugt8a,Sparc,Aqp4,Sparc,Sparc,Tnc,Olfml3,Neat1,Ephx2,Aldh6a1,Aldh6a1,Tmem132a,Gm43048,Fbxo21,Gm43048,Aqp4,Ovgp1,Upp2,Zfp523,Etnppl,Zfp523,Per1,Per1,Olfml3,Gm12718,Crym,Gm12718,Clec3b,Ovgp1,Steap3,Txnip,Txnip,Kcne1l,Abca1,Abca1,Apln,Olfml3,Lrrtm4,Olfml3,Igsf1,Ncam1,Igsf1,Alox5,Alox5,Hbb-bs,Sparc,Il6st,Sparc,Cnmd,Tmem165,Gdf11,Klk1b21,Ptgs1,Klk1b21,Pomc,Slc2a4,Pomc
Unc5b,Pnlip,Unc5b,Car14,Tacr2,Cd59b,Sparc,Ccdc3,Car2,Klk6,Prodh,Ugt8a,Neat1,Apod,Lrp4,Hbb-bs,Zfas1,Kcne1l,Gm44241,Coro7,Gm44241,Upp2,Cyp2d22,Hbb-bt,Slc7a10,Eif3f,Slc7a10,Igsf1,Slc2a4,CT009510.2,Fabp5,Cyp39a1,Fabp5,Steap3,Peg3,Cd74,Ncan,Fbln5,Bcs1l,Tomm40l,Etnppl,Hbb-bt,Paip2b,Tomm20,Kmt5c,Cycs,Rnf24,Cycs,Adgrg1,Adgrg1,Hbb-bt,Ccnd1,Gm44421,Ccnd1,Gdf11,9330121K16Rik,Slc43a2,Klk1b24,Calml3,Klk1b24,2900052N01Rik,Arl4d,Emp2
2900052N01Rik,Svs2,Gm35657,Tacr2,Lamp1,Anxa2,Ccdc3,Slc24a4,Trp53inp2,Tnc,Etnppl,Ptn,Ephx2,Wnt10b,Cideb,Tmem132a,Fbln5,Rprml,Slc6a6,Gm43777,Hbb-bs,Ovgp1,Pink1,Hpgds,Jak3,Sparc,Jak3,Slc2a4,Pink1,Ddhd1,Rarres1,As3mt,Rarres1,Cd74,Serpina3n,H2-Aa,Fbln5,Cyp2d22,Gkn3,Apln,Cyp4f15,Myl4,Kmt5c,Igbp1,Cnmd,Hba-a1,Cyp2d22,Hba-a1,Avp,Sufu,Acadsb,Col1a1,Fam8a1,Col1a1,Tmem165,Cmtm3,Mycbpap,Lhcgr,Dgkg,Lhcgr,Emp2,Kcnt1,Ghrh
Gm35657,D7Bwg0826e,Ccl8,Lamp1,Osbp2,Ccdc3,Aqp4,Itih3,Itm2a,Ugt8a,Amigo2,Aqp4,Apod,Cbx7,AI987944,Zfas1,Txnip,Hbb-bt,Hbb-bs,Arhgef11,A2ml1,Cyp2d22,Sult1a1,Alas2,Kctd15,Paip2b,Kctd15,Pink1,Casq1,Top2a,Fmn1,Gstt3,Fmn1,H2-Aa,2810403A07Rik,Hopx,Cyp2d22,Etnppl,Slc7a10,Hbb-bt,9330162G02Rik,Alas2,Cnmd,Stxbp6,Sned1,Snapc5,Slc7a5,Snapc5,Sufu,Per1,D3Ertd751e,Col6a2,Gstm2,Col6a2,Slc43a2,Epha7,Nfasc,Fads2,Spock3,Fads2,Ghrh,Cry2,Dusp19
Ccl8,Cyp2a5,Adh7,Osbp2,Kyat3,Sparc,Slc24a4,Prodh,Cxcl12,Prodh,Slc2a4,Col2a1,Wnt10b,Cyp2d22,Emp2,Fbln5,BC051142,Olfml3,A2ml1,Cds2,AC161763.1,Hbb-bt,Deaf1,Ugt8a,Lrrc24,Tomm20,Lrrc24,Casq1,Csrnp1,Ly86,Slc22a7,Cyp17a1,Slc22a7,Hopx,Adcyap1r1,Dlk2,Kcne1l,2810403A07Rik,Gdf11,Myl4,1700109H08Rik,Oxct1,Sned1,Aldh6a1,Megf6,Magi2,Ace,Gmpr2,Per1,Szt2,H2-Ab1,Ighm,Tfdp2,Ighm,9330121K16Rik,Glra3,1810041L15Rik,Fads1,Thrsp,Fads1,Slc2a4,AC123724.2,Hbb-bt
Adh7,Agrp,Galp,Kyat3,Gnmt,Adrb3,Car2,Apod,Lpar1,Ptn,Slco4a1,Serpinb1a,Cbx7,Slc2a4,2810407A14Rik,Txnip,Ovgp1,Trem2,AC161763.1,Ptpn11,Gm42970,Pink1,Cdkn1a,Olfml3,Zfr2,Epb41l5,Zfr2,Csrnp1,Arrdc2,Eif2s1,Nuggc,Cyp2c37,Nuggc,Dlk2,Dlk1,Dalrd3,Bcs1l,Usp48,Ifi203,Alas2,Usp48,Kcna6,Megf6,Klhdc2,Fuz,Gmpr2,Mnt,Eef1akmt1,Szt2,Actn1,,Nmrk2,Pm20d2,Nmrk2,Mycbpap,Hmgcs2,Fuz,Pld3,Rlim,Pld3,Dusp19,Casq1,Vcam1
